filepath,room_type,split,condition_score
train/balcony/1692162830827333_26915440154739586__001_26915440154739586.jpg,balcony,train,5
train/balcony/1697699190534876_3929534160684690__001_10238507940530339.jpg,balcony,train,4
train/balcony/1446203822077011_27330354209901951__001_27330354209901951.jpg,balcony,train,5
train/balcony/1175635132590303_3553245814829211__012_1823027145346780.jpg,balcony,train,5
train/balcony/1108280606220345_2679431349105255__005_27255335517407636.jpg,balcony,train,5
train/balcony/109471915759582_36110493601897291__008_1471172441693965.jpg,balcony,train,5
train/balcony/110907419268500_2731506697208546__007_4386440894933179.jpg,balcony,train,4
train/balcony/1302750086537790_4232543200225116__002_1144170175436728.jpg,balcony,train,4
train/balcony/1108280606220345_2677591979289192__004_26802828529387420.jpg,balcony,train,5
train/balcony/1333924010089214_3461694423978818__005_980049217731513.jpg,balcony,train,2
train/balcony/1131541966889617_26923687563915037__007_36050920801159816.jpg,balcony,train,3
train/balcony/1658210834462300_4484143088535713__002_2775539432783055.jpg,balcony,train,4
train/balcony/140974480089370_2198794994307298__006_27325080560418728.jpg,balcony,train,5
train/balcony/1108075092683422_3627964644027775__003_27092465340370687.jpg,balcony,train,4
train/balcony/111163552234056_27844021078521597__006_4181198175473988.jpg,balcony,train,5
train/balcony/1692162830827333_26973046965645571__003_122236480928470521.jpg,balcony,train,5
train/balcony/167401334126918_2019870268880006__010_26916346481319352.jpg,balcony,train,3
train/balcony/1308193765888197_36012495085031289__005_10233946707997998.jpg,balcony,train,3
train/balcony/1658210834462300_4486725118277510__006_10244845610383037.jpg,balcony,train,5
train/balcony/1374467126144215_4383293395261558__002_1431101469049909.jpg,balcony,train,5
train/balcony/1444861819075775_4440864096142184__012_10163182170134538.jpg,balcony,train,5
train/balcony/140974480089370_2199601377559993__001_10163742515109379.jpg,balcony,train,3
train/balcony/1569279603190851_26515700981455368__003_10244460630597138.jpg,balcony,train,5
train/balcony/1308193765888197_35959276130353185__001_35959276130353185.jpg,balcony,train,3
train/balcony/1692162830827333_26920193457597589__003_28119009851022601.jpg,balcony,train,3
train/balcony/1100386826745670_27145393258485004__003_26760054663681723.jpg,balcony,train,3
train/balcony/1029345667543954_2384140292064478__008_2062050017822102.jpg,balcony,train,5
train/balcony/126295760730491_27805290835737611__002_10164008446008397.jpg,balcony,train,4
train/balcony/1029345667543954_2389450551533452__001_2389450551533452.jpg,balcony,train,4
train/balcony/1029345667543954_2385348311943676__001_2385348311943676.jpg,balcony,train,4
train/balcony/1302750086537790_4234527640026672__006_1538081571220849.jpg,balcony,train,4
train/balcony/1333924010089214_3473397616141832__003_10233018590714514.jpg,balcony,train,4
train/balcony/1302750086537790_4238353462977423__007_10243373789389675.jpg,balcony,train,3
train/balcony/1644120495892745_3953693864935385__006_27981050861481915.jpg,balcony,train,5
train/balcony/1664792386922491_26654142037560847__002_26987073397554313.jpg,balcony,train,3
train/balcony/1444861819075775_4441878916040702__009_27360048960247194.jpg,balcony,train,4
train/balcony/1409711522615858_4214254838828165__009_27991714287084937.jpg,balcony,train,3
train/balcony/108387882545483_27096062930017946__008_4360635034266262.jpg,balcony,train,3
train/balcony/140974480089370_2199773880876076__001_2199773880876076.jpg,balcony,train,3
train/balcony/1369521363409648_2776252876069816__002_10242328316372533.jpg,balcony,train,5
train/balcony/1308193765888197_36089137847367012__004_27508171725489526.jpg,balcony,train,4
train/balcony/1381673142221410_3103404596714914__004_1705968950580870.jpg,balcony,train,4
train/balcony/162570224559186_2196905237792331__001_2196905237792331.jpg,balcony,train,3
train/balcony/108387882545483_27059984563625783__005_10236561107380067.jpg,balcony,train,3
train/balcony/1644120495892745_3953840434920728__004_10237641406428287.jpg,balcony,train,5
train/balcony/125793327613639_3042805149245761__004_27242622672005018.jpg,balcony,train,3
train/balcony/1592420637729022_3952088505095545__002_10237963598203693.jpg,balcony,train,4
train/balcony/1374467126144215_4390506397873591__004_10163623303128301.jpg,balcony,train,5
train/balcony/133922880497171_2057348191487954__001_27690262433896603.jpg,balcony,train,4
train/balcony/1100386826745670_27307951588895836__007_1635609948568011.jpg,balcony,train,4
train/balcony/1446203822077011_27369377139332991__011_1523906706413697.jpg,balcony,train,5
train/balcony/1692162830827333_26856449303972005__004_1555708629898898.jpg,balcony,train,5
train/balcony/1444861819075775_4435507733344487__010_26615954651433473.jpg,balcony,train,4
train/balcony/1250686224969130_26808815002062901__004_27427365793527609.jpg,balcony,train,5
train/balcony/1383397445076108_26857226280599874__009_1457198356422799.jpg,balcony,train,4
train/balcony/1131541966889617_26926496613634132__001_26588940797457484.jpg,balcony,train,3
train/balcony/1444861819075775_4441888246039769__010_27360181050233985.jpg,balcony,train,5
train/balcony/1029345667543954_2385044705307370__004_27396489589948324.jpg,balcony,train,4
train/balcony/162570224559186_2192315084918013__006_10165055542791639.jpg,balcony,train,3
train/balcony/1117824112816877_1667214581211158__001_1667214581211158.jpg,balcony,train,3
train/balcony/1692162830827333_26926502393633362__001_26926502393633362.jpg,balcony,train,3
train/balcony/1029345667543954_2385869038558270__001_1729261815077379.jpg,balcony,train,5
train/balcony/1302750086537790_4255430657936370__003_122129917179166066.jpg,balcony,train,4
train/balcony/137474916300778_26829755196646054__006_27510105371925038.jpg,balcony,train,5
train/balcony/1446203822077011_27297755253161847__001_27297755253161847.jpg,balcony,train,4
train/balcony/1591401697779759_4250250495228186__001_4250250495228186.jpg,balcony,train,4
train/balcony/126295760730491_27835972492669445__002_10167852531108747.jpg,balcony,train,3
train/balcony/1369521363409648_2776230269405410__001_35701937546086161.jpg,balcony,train,5
train/balcony/1175635132590303_3553466571473802__012_1528799185501896.jpg,balcony,train,4
train/balcony/1446203822077011_27391042257166479__003_28064609659794546.jpg,balcony,train,4
train/balcony/128182133878732_27375151992088378__001_27375151992088378.jpg,balcony,train,4
train/balcony/1302750086537790_4236980959781340__006_1677483396918763.jpg,balcony,train,4
train/balcony/1692162830827333_26849928277957441__001_26849928277957441.jpg,balcony,train,3
train/balcony/1302750086537790_4243797239099712__002_4442005322793593.jpg,balcony,train,3
train/balcony/1100386826745670_27172850182405978__006_26787562867597569.jpg,balcony,train,4
train/balcony/126295760730491_27777221161877912__007_27048083768116617.jpg,balcony,train,5
train/balcony/1592420637729022_3954783948159334__002_2085215325388987.jpg,balcony,train,4
train/balcony/1333924010089214_3463509843797276__007_950719214375491.jpg,balcony,train,4
train/balcony/141224653236180_1861470861211542__002_979836841086512.jpg,balcony,train,4
train/balcony/1592420637729022_3958560881114974__003_3464634787047336.jpg,balcony,train,4
train/balcony/1414853725269536_27050040214657535__008_1711064400308821.jpg,balcony,train,4
train/balcony/1369521363409648_2780279442333826__005_10244232723090706.jpg,balcony,train,3
train/balcony/1574044329492258_4570089523221042__006_10162267943726470.jpg,balcony,train,4
train/balcony/1692162830827333_26949465871337014__012_26980010164975375.jpg,balcony,train,4
train/balcony/155513625152539_1910441649659719__004_4358498267813272.jpg,balcony,train,4
train/balcony/101875683484689_2902333753438854__010_10245377441280776.jpg,balcony,train,4
train/balcony/140974480089370_2200551247465006__002_122193778688400293.jpg,balcony,train,4
train/balcony/167401334126918_2011098466423853__004_26784134037873931.jpg,balcony,train,4
train/balcony/1692162830827333_26916948954588706__004_122230176770549755.jpg,balcony,train,4
train/balcony/1108280606220345_2684300691951654__001_10165474236009113.jpg,balcony,train,4
train/balcony/167401334126918_2018070265726673__001_2018070265726673.jpg,balcony,train,4
train/balcony/140974480089370_2199376970915767__003_27934941582763197.jpg,balcony,train,4
train/balcony/151351752255977_2006986380025829__002_27914094744877250.jpg,balcony,train,3
train/balcony/1108280606220345_2685412371840486__007_26771844252425561.jpg,balcony,train,4
train/balcony/1444861819075775_4435667979995129__001_4435667979995129.jpg,balcony,train,5
train/balcony/1409711522615858_4201184283468554__005_35360586753556581.jpg,balcony,train,4
train/balcony/1302750086537790_4232120706934032__006_1674318843901885.jpg,balcony,train,4
train/balcony/1692162830827333_26916952474588354__001_26916952474588354.jpg,balcony,train,3
train/balcony/126295760730491_27993926560207370__004_28077893525133081.jpg,balcony,train,3
train/balcony/125793327613639_3041950002664609__002_10239680672488315.jpg,balcony,train,3
train/balcony/1374467126144215_4387668378157393__007_27231214466504181.jpg,balcony,train,5
train/balcony/1574044329492258_4570458529850808__003_10162269272701470.jpg,balcony,train,5
train/balcony/140974480089370_2198832584303539__012_961932596587486.jpg,balcony,train,4
train/balcony/1592420637729022_3954846454819750__004_27956690407252071.jpg,balcony,train,5
train/balcony/151351752255977_2001434393914361__008_2138978416646189.jpg,balcony,train,5
train/balcony/101875683484689_2902022890136607__004_10162994385995745.jpg,balcony,train,5
train/balcony/1381673142221410_3118062718582435__002_1717750479402717.jpg,balcony,train,5
train/balcony/125793327613639_3043594712500138__002_1659339326198368.jpg,balcony,train,5
train/balcony/162570224559186_2201683080647880__008_27213822758215691.jpg,balcony,train,4
train/balcony/1658210834462300_4486484844968204__004_27600581029543238.jpg,balcony,train,5
train/balcony/1662194610917822_2396391147498161__008_10241895462903884.jpg,balcony,train,4
train/balcony/1697699190534876_3925427597762013__005_10164578365238770.jpg,balcony,train,3
train/balcony/1374467126144215_4390341171223447__004_1408764051059080.jpg,balcony,train,5
train/balcony/1302750086537790_4248331928646243__002_4445678509092941.jpg,balcony,train,3
train/balcony/1564067761059184_2157657361700218__005_2807518079591705.jpg,balcony,train,3
train/balcony/1624818081000281_3672844986197570__007_27177927195152180.jpg,balcony,train,3
train/balcony/1592420637729022_3955120948125634__001_3955120948125634.jpg,balcony,train,4
train/balcony/162570224559186_2198110414338480__008_967519856040835.jpg,balcony,train,4
train/balcony/1591401697779759_4240707412849161__002_10163841710213726.jpg,balcony,train,3
train/balcony/109471915759582_35950530187893634__002_10237632340920559.jpg,balcony,train,5
train/balcony/125793327613639_3044642455728697__005_10215633451145404.jpg,balcony,train,3
train/balcony/1569279603190851_26406607522364715__004_122127610587032508.jpg,balcony,train,3
train/balcony/1108280606220345_2679451262436597__011_10164153787566797.jpg,balcony,train,5
train/balcony/167401334126918_2019581922242174__002_122126720049159146.jpg,balcony,train,3
train/balcony/1394256424177525_4355675761368895__008_122168588354850325.jpg,balcony,train,4
train/balcony/1592420637729022_3961628627474866__001_3961628627474866.jpg,balcony,train,4
train/balcony/131650282168271_1339336384732982__001_1339336384732982.jpg,balcony,train,4
train/balcony/1444861819075775_4442874739274453__009_26705831715779099.jpg,balcony,train,5
train/balcony/1692162830827333_26856239240659678__006_1769033781086452.jpg,balcony,train,5
train/balcony/110907419268500_2722919531400596__002_10238662780601846.jpg,balcony,train,5
train/balcony/1100386826745670_27144826241875039__007_26759476533739536.jpg,balcony,train,4
train/balcony/1108280606220345_2682624182119305__001_2682624182119305.jpg,balcony,train,5
train/balcony/111163552234056_27872930308964007__001_27872930308964007.jpg,balcony,train,5
train/balcony/1100386826745670_27393551627002498__005_4339151809735405.jpg,balcony,train,5
train/balcony/1250686224969130_26807357775541957__003_26738127682513157.jpg,balcony,train,5
train/balcony/1374467126144215_4383107491946815__001_4383107491946815.jpg,balcony,train,4
train/balcony/1302750086537790_4252365034909599__002_122278024256080930.jpg,balcony,train,3
train/balcony/108387882545483_27059984563625783__003_10236561107340066.jpg,balcony,train,2
train/balcony/1369521363409648_2785191515175952__010_27713382154929571.jpg,balcony,train,5
train/balcony/128182133878732_27387073494229561__003_35390687223863209.jpg,balcony,train,3
train/balcony/1692162830827333_27020351357581798__004_3923753781253711.jpg,balcony,train,4
train/balcony/126295760730491_27814045528195475__001_1446862656756306.jpg,balcony,train,3
train/balcony/128182133878732_27406523248951252__001_27406523248951252.jpg,balcony,train,5
train/balcony/1692162830827333_27020553514228249__003_3423134814532702.jpg,balcony,train,4
train/balcony/111163552234056_27908436252080079__006_4186063931654079.jpg,balcony,train,5
train/balcony/1414853725269536_27049858651342358__005_2475948346152379.jpg,balcony,train,3
train/balcony/1381673142221410_3103404596714914__001_3103404596714914.jpg,balcony,train,4
train/balcony/1308193765888197_36056892320591565__001_36056892320591565.jpg,balcony,train,4
train/balcony/1250686224969130_26797300589881009__005_26967199729579514.jpg,balcony,train,2
train/balcony/1029345667543954_2389976884814152__005_27066624309644604.jpg,balcony,train,5
train/balcony/1485565508385836_4372509689691389__004_122161950128819325.jpg,balcony,train,4
train/balcony/1592420637729022_3959103937727335__003_2088685605041959.jpg,balcony,train,4
train/balcony/1302750086537790_4234433303369439__001_4234433303369439.jpg,balcony,train,5
train/balcony/1564067761059184_2155167581949196__003_2804676769875836.jpg,balcony,train,3
train/balcony/1424244737803677_4553374481557338__006_10174309225460125.jpg,balcony,train,4
train/balcony/1644120495892745_3946123809025724__002_10227288436231798.jpg,balcony,train,5
train/balcony/1308193765888197_35933716336242498__001_35933716336242498.jpg,balcony,train,5
train/balcony/111163552234056_27677197965203910__003_10162841020649492.jpg,balcony,train,4
train/balcony/1444861819075775_4437520186476575__005_26640823748946563.jpg,balcony,train,4
train/balcony/167401334126918_2018232735710426__002_27499347576323876.jpg,balcony,train,3
train/balcony/128182133878732_27423937347209842__006_1507130497771422.jpg,balcony,train,3
train/balcony/1446203822077011_27357240827213289__005_27034837576112638.jpg,balcony,train,5
train/balcony/1293017504164975_4095374940595870__010_28051037081149697.jpg,balcony,train,4
train/balcony/111163552234056_27869634535960251__005_3866809723454535.jpg,balcony,train,4
train/balcony/101875683484689_2900918343580395__002_122180448734794759.jpg,balcony,train,4
train/balcony/1624818081000281_3672828036199265__002_1552894523078435.jpg,balcony,train,4
train/balcony/1446203822077011_27348022524801786__007_10232712275844622.jpg,balcony,train,5
train/balcony/1592420637729022_3956244621346600__001_3956244621346600.jpg,balcony,train,3
train/balcony/128182133878732_27251958107741101__009_1826009785410161.jpg,balcony,train,4
train/balcony/1444861819075775_4428274830734444__010_26532525669776372.jpg,balcony,train,4
train/balcony/128182133878732_27243707541899491__004_1825221498822323.jpg,balcony,train,5
train/balcony/126295760730491_27914238968176130__002_10234405457459594.jpg,balcony,train,5
train/balcony/1302750086537790_4235582003254569__007_1470320524846137.jpg,balcony,train,4
train/balcony/1108280606220345_2681287005586356__004_26929131886740554.jpg,balcony,train,3
train/balcony/126295760730491_27935943352672358__001_27935943352672358.jpg,balcony,train,5
train/balcony/101875683484689_2900904230248473__004_10162990214380745.jpg,balcony,train,5
train/balcony/1578259502584829_2451820315228739__006_122183665790957697.jpg,balcony,train,3
train/balcony/1250686224969130_26912072988403768__004_27046483568281060.jpg,balcony,train,5
train/balcony/1444861819075775_4431872127041381__008_27867467189510122.jpg,balcony,train,4
train/balcony/1108075092683422_3628032174021022__005_10233794467423218.jpg,balcony,train,4
train/balcony/1592420637729022_3953699354934460__004_26868255226124438.jpg,balcony,train,3
train/balcony/133922880497171_2055337648355675__002_27801830222739823.jpg,balcony,train,5
train/balcony/1117824112816877_1661152811817335__001_1661152811817335.jpg,balcony,train,4
train/balcony/1308193765888197_36012192348394896__007_10232733159212729.jpg,balcony,train,4
train/balcony/1369521363409648_2774200352941735__009_35532102326404128.jpg,balcony,train,5
train/balcony/1444861819075775_4440876852807575__010_27347990818119675.jpg,balcony,train,5
train/balcony/1108075092683422_3617065861784320__008_1453440450130188.jpg,balcony,train,4
train/balcony/1692162830827333_26937608689189399__001_26937608689189399.jpg,balcony,train,3
train/balcony/1302750086537790_4241838642628905__006_26490664070629185.jpg,balcony,train,3
train/balcony/1333924010089214_3469822606499333__008_36563620786570618.jpg,balcony,train,5
train/balcony/1108280606220345_2685412371840486__005_26771844245758895.jpg,balcony,train,3
train/balcony/1388421434704191_4277098239169815__012_3418835401603859.jpg,balcony,train,4
train/balcony/167401334126918_2011094856424214__003_10214886143103742.jpg,balcony,train,4
train/balcony/1302750086537790_4250300708449365__002_122277674780080930.jpg,balcony,train,3
train/balcony/126295760730491_27836007599332601__004_27919402640982171.jpg,balcony,train,5
train/balcony/1574044329492258_4566138110282850__001_4566138110282850.jpg,balcony,train,4
train/balcony/1574044329492258_4562850050611656__011_122228470604319784.jpg,balcony,train,5
train/balcony/1100386826745670_27352588011098860__002_122173708574877159.jpg,balcony,train,4
train/balcony/125793327613639_3044528859073390__001_10238687188412479.jpg,balcony,train,4
train/balcony/1308193765888197_36061874936759970__006_27466229129641036.jpg,balcony,train,4
train/balcony/1480733602056021_26604511312584903__003_28050144084574794.jpg,balcony,train,3
train/balcony/1692162830827333_27031397856477148__005_3424206684425515.jpg,balcony,train,5
train/balcony/1692162830827333_26924257563857845__001_26924257563857845.jpg,balcony,train,5
train/balcony/137474916300778_26670775419210700__001_26670775419210700.jpg,balcony,train,4
train/balcony/1446203822077011_27352717994332239__006_122174234768937818.jpg,balcony,train,4
train/balcony/1029345667543954_2386039241874583__009_36249469634638203.jpg,balcony,train,4
train/balcony/1308193765888197_36032661406347990__004_27478388865134479.jpg,balcony,train,4
train/balcony/1624818081000281_3672847112864024__006_27177954571816109.jpg,balcony,train,4
train/balcony/151351752255977_2001065873951213__003_27823728123913913.jpg,balcony,train,3
train/balcony/151351752255977_2005810700143397__002_27897117499908308.jpg,balcony,train,4
train/balcony/1446203822077011_27392841500319888__001_2249362632135488.jpg,balcony,train,4
train/balcony/126295760730491_27835972492669445__007_10167852531138747.jpg,balcony,train,4
train/balcony/1302750086537790_4246365958842840__008_4444103179250474.jpg,balcony,train,4
train/balcony/167401334126918_2013439136189786__002_969726499301467.jpg,balcony,train,5
train/balcony/1446203822077011_27380811128189592__006_10239772351940255.jpg,balcony,train,3
train/balcony/1302750086537790_4239217152891054__003_26464183913277201.jpg,balcony,train,4
train/balcony/1029345667543954_2388542061624301__001_2388542061624301.jpg,balcony,train,4
train/balcony/137474916300778_26817145397907034__001_26817145397907034.jpg,balcony,train,3
train/balcony/1074129249328016_35650662287914604__002_26416255331403305.jpg,balcony,train,4
train/balcony/1175635132590303_3553598748127251__004_2426816877730726.jpg,balcony,train,5
train/balcony/1121082361306682_26873630975625134__003_122206877558787967.jpg,balcony,train,4
train/balcony/1121082361306682_26909251742063057__002_122178394400919866.jpg,balcony,train,4
train/balcony/126295760730491_28020537060879653__005_28041969028736354.jpg,balcony,train,4
train/balcony/1444861819075775_4444299369131990__005_27133539789574161.jpg,balcony,train,5
train/balcony/1444861819075775_4435684796660114__003_10238985449512715.jpg,balcony,train,4
train/balcony/1131541966889617_27026151153668677__010_36246264048292156.jpg,balcony,train,1
train/balcony/1308193765888197_36013103228303808__001_36013103228303808.jpg,balcony,train,5
train/balcony/1697699190534876_3925105181127588__007_3491399861026647.jpg,balcony,train,5
train/balcony/151351752255977_2007092790015188__003_27915520364734688.jpg,balcony,train,3
train/balcony/101875683484689_2905912326414330__004_27617723981153817.jpg,balcony,train,5
train/balcony/1492833544374932_4501902246801365__005_4318308158411510.jpg,balcony,train,5
train/balcony/1444861819075775_4437789236449670__005_1648301189740837.jpg,balcony,train,5
train/balcony/1029345667543954_2388663598278814__001_2388663598278814.jpg,balcony,train,5
train/balcony/151351752255977_1997442674313533__001_1997442674313533.jpg,balcony,train,3
train/balcony/101875683484689_2900163126989250__001_2900163126989250.jpg,balcony,train,3
train/balcony/1532036997126363_4254422888221080__001_4254422888221080.jpg,balcony,train,3
train/balcony/1175635132590303_3554356281384831__003_26382506138094405.jpg,balcony,train,4
train/balcony/1444861819075775_4430231000538827__008_10243330903548257.jpg,balcony,train,4
train/balcony/1108075092683422_3610477632443143__003_10231808370144413.jpg,balcony,train,3
train/balcony/1107364326101704_3275165569321558__001_3275165569321558.jpg,balcony,train,4
train/balcony/1308193765888197_36012519658362165__002_27315317298072659.jpg,balcony,train,4
train/balcony/1131541966889617_26927105126906614__005_1650488156026760.jpg,balcony,train,4
train/balcony/136756476866142_2179562835918819__005_26287193270979833.jpg,balcony,train,5
train/balcony/1374467126144215_4381558248768406__008_1521012353025535.jpg,balcony,train,5
train/balcony/1394256424177525_4364976807105457__007_873105809150440.jpg,balcony,train,4
train/balcony/1446203822077011_27314919008112138__002_883666114749077.jpg,balcony,train,2
train/balcony/1592420637729022_3959105054393890__008_10244023113621124.jpg,balcony,train,5
train/balcony/162570224559186_2189719225177599__008_26898484033082900.jpg,balcony,train,5
train/balcony/126295760730491_27803227815943913__003_1442979717569217.jpg,balcony,train,5
train/balcony/1692162830827333_26951549287795339__004_4407601439480574.jpg,balcony,train,4
train/balcony/1532036997126363_4252633478400021__007_10216622281427213.jpg,balcony,train,4
train/balcony/126295760730491_27823801940553167__004_10164230020964169.jpg,balcony,train,3
train/balcony/126295760730491_27815349201398441__006_10165269802521579.jpg,balcony,train,5
train/balcony/125793327613639_3044642455728697__003_10215633452745444.jpg,balcony,train,2
train/balcony/1592420637729022_3960505390920523__004_4301614533316265.jpg,balcony,train,5
train/balcony/133922880497171_2057653398124100__001_2057653398124100.jpg,balcony,train,4
train/balcony/1302750086537790_4253585964787506__003_10241669158734665.jpg,balcony,train,4
train/balcony/1175635132590303_3556706754483117__005_35643063048641769.jpg,balcony,train,5
train/balcony/1029345667543954_2388706674941173__005_27422514740666662.jpg,balcony,train,4
train/balcony/111163552234056_27788444720745900__006_10214898052481742.jpg,balcony,train,3
train/balcony/1108280606220345_2677652549283135__008_4046134535530916.jpg,balcony,train,3
train/balcony/151351752255977_1992774064780394__003_27705535955733131.jpg,balcony,train,3
train/balcony/137474916300778_26684026584552250__001_26684026584552250.jpg,balcony,train,4
train/balcony/1394256424177525_4368769683392836__005_26904427465856148.jpg,balcony,train,5
train/balcony/1302750086537790_4237468129732623__001_2717080845316033.jpg,balcony,train,5
train/balcony/126295760730491_27810876361845725__005_27894118243510611.jpg,balcony,train,5
train/balcony/1302750086537790_4236329143179855__005_1677051230295313.jpg,balcony,train,2
train/balcony/1697699190534876_3936089666695806__002_27232633786331038.jpg,balcony,train,5
train/balcony/1532036997126363_4256823224647713__002_10164167309294743.jpg,balcony,train,5
train/balcony/1564067761059184_2170552167077404__005_2822181421458704.jpg,balcony,train,4
train/balcony/1121082361306682_26865267933128105__001_26865267933128105.jpg,balcony,train,5
train/balcony/1374467126144215_4385364695054428__002_26972155419068017.jpg,balcony,train,5
train/balcony/128182133878732_27314971718106406__005_10163743155894933.jpg,balcony,train,5
train/balcony/167401334126918_2011150973085269__003_27390445627214072.jpg,balcony,train,4
train/balcony/1644120495892745_3950939268544178__004_27940971138823221.jpg,balcony,train,5
train/balcony/1692162830827333_26915448871405381__005_4404610983112953.jpg,balcony,train,4
train/balcony/140974480089370_2200456557474475__002_4074667889354719.jpg,balcony,train,5
train/balcony/1108280606220345_2680321442349579__007_1800006444490269.jpg,balcony,train,4
train/balcony/126295760730491_27908347145431979__001_27908347145431979.jpg,balcony,train,5
train/balcony/1532036997126363_4250050591991643__003_10164137836199743.jpg,balcony,train,4
train/balcony/1374467126144215_4393511547573076__001_4393511547573076.jpg,balcony,train,5
train/balcony/1480733602056021_26560464430322925__003_122228208056335752.jpg,balcony,train,5
train/balcony/1644120495892745_3942792332692205__007_27834703446116658.jpg,balcony,train,5
train/balcony/109471915759582_36204782975801686__008_10164188838252911.jpg,balcony,train,3
train/balcony/1424244737803677_4555149624713157__008_27611950471740249.jpg,balcony,train,5
train/balcony/1644120495892745_3953662734938498__003_992610406651519.jpg,balcony,train,4
train/balcony/125793327613639_3042544002605209__002_1658381246294176.jpg,balcony,train,3
